id,name,category,website_hint,one_liner,auth_methods,primary_auth,access_model,access_details,api_surface,api_breadth,mcp_status,buildability_verdict,main_blocker,priority_quadrant,evidence_url
1,Salesforce,CRM and Sales,salesforce.com,Enterprise customer relationship management and cloud sales operations platform.,OAuth2; JWT Bearer; SAML SSO,OAuth2,Self-Serve Free,Free Developer Edition accounts provide full API access; production requires paid licenses.,REST + GraphQL + SOAP,Broad (>50 endpoints),Composio Native,Ready Today,OAuth Connected App permissions and complex permission-set scopes.,Core Enterprise Bet,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_rest_api.htm
2,HubSpot,CRM and Sales,hubspot.com,"Inbound marketing, CRM, sales pipeline, and customer service platform.",OAuth2; Private App Access Token (Bearer),Private App Access Token (Bearer),Self-Serve Free,Free developer test accounts or free CRM tier allow generating Private App tokens in minutes.,REST,Broad (>50 endpoints),Composio Native,Ready Today,None (instant private app tokens for single-tenant; standard OAuth for multi-tenant).,Quick Win (Instant Toolkit),https://developers.hubspot.com/docs/api/overview
3,Pipedrive,CRM and Sales,pipedrive.com,Sales pipeline management and deal tracking CRM for revenue teams.,OAuth2; API Token,API Token,Self-Serve Free,14-day free trial or free developer sandbox with instant API token generation.,REST,Broad (>50 endpoints),Composio Native,Ready Today,None (personal API token available in user settings immediately).,Quick Win (Instant Toolkit),https://developers.pipedrive.com/docs/api/v1
4,Attio,CRM and Sales,attio.com,Modern AI-native and customizable relationship management platform.,OAuth2; API Key (Bearer Token),API Key (Bearer Token),Self-Serve Free,Free tier available; API keys can be minted directly in workspace settings.,REST,Broad (>50 endpoints),Community MCP,Ready Today,None (clean modern REST v2 API with granular read/write scopes).,Quick Win (Instant Toolkit),https://developers.attio.com/reference/overview
5,Twenty,CRM and Sales,twenty.com (open-source CRM),Open-source extensible CRM designed as a modern alternative to Salesforce.,API Key (Bearer); OAuth2,API Key (Bearer),Self-Serve Free,Completely free open-source (self-hosted) or free tier cloud hosting.,REST + GraphQL,Broad (>50 endpoints),Community MCP,Ready Today,None (open developer environment with OpenAPI schema & GraphQL playground).,Quick Win (Instant Toolkit),https://twenty.com/developers
6,Podio,CRM and Sales,podio.com,Citrix-owned modular workspace and custom CRM application platform.,OAuth2; Server-side App Authentication,OAuth2,Self-Serve Free,Free plan (up to 5 users) allows creating API keys in account settings.,REST,Broad (>50 endpoints),None,Ready Today,Legacy rate-limiting architecture and older XML/JSON schema inconsistencies.,Core Enterprise Bet,https://podio.com/developer/api-overview
7,Zoho CRM,CRM and Sales,zoho.com/crm,Multi-channel sales and customer lifecycle CRM with extensive developer tools.,OAuth2,OAuth2,Self-Serve Free,Free edition (up to 3 users) and free Developer Console access for client creation.,REST,Broad (>50 endpoints),Composio Native,Ready Today,"Multi-region domain routing (.com, .eu, .in, .com.au) and refresh token mechanics.",Core Enterprise Bet,https://www.zoho.com/crm/developer/docs/api/v6/
8,Close,CRM and Sales,close.com,"Inside sales CRM featuring native multi-channel calling, SMS, and email sequences.",API Key (Basic Auth); OAuth2,API Key (Basic Auth),Self-Serve Free,14-day free trial with immediate API key generation; paid plans required post-trial.,REST,Broad (>50 endpoints),Community MCP,Ready Today,Paid plan required after trial ($49+/user/mo) for continued execution.,Quick Win (Instant Toolkit),https://developer.close.com/
9,Copper,CRM and Sales,copper.com,Google Workspace-integrated CRM recommended for Gmail and Google Calendar users.,API Key + User Email (Header Auth),API Key + User Email (Header Auth),Self-Serve Free,14-day free trial; requires Google Workspace account to generate API tokens.,REST,Broad (>50 endpoints),None,Ready Today,"Custom header requirement (`X-PW-AccessToken`, `X-PW-UserEmail`) and Google dependency.",Core Enterprise Bet,https://developer.copper.com/
10,DealCloud,CRM and Sales,api.docs.dealcloud.com,Institutional deal management and capital markets CRM by Intapp.,OAuth2 (Client Credentials / Open API),OAuth2,Partner-Gated,Enterprise contract required; API credentials provisioned strictly by tenant admins and Intapp support.,REST,Broad (>50 endpoints),None,High Friction,No public developer sandbox; enterprise customer agreement mandatory.,Strategic Outreach,https://api.docs.dealcloud.com/
